NIVEL ESTUDIOS,CALIFICACION DOCENTE,CAMPUS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,7,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,BOCA DEL RIO
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,6,COATZACOALCOS
BACHILLERATO ,6,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,3,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,6,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,6,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,6,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,5,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,4,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,10,COATZACOALCOS
BACHILLERATO ,7,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
BACHILLERATO ,5,COATZACOALCOS
BACHILLERATO ,9,COATZACOALCOS
BACHILLERATO ,8,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,3,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,8,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,9,COATZACOALCOS
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,10,BOCA DEL RIO
SECUNDARIA,8,BOCA DEL RIO
SECUNDARIA,7,BOCA DEL RIO
SECUNDARIA,8,BOCA DEL RIO
SECUNDARIA,9,BOCA DEL RIO
SECUNDARIA,8,BOCA DEL RIO
SECUNDARIA,9,BOCA DEL RIO
SECUNDARIA,7,BOCA DEL RIO
SECUNDARIA,10,COATZACOALCOS
SECUNDARIA,9,BOCA DEL RIO
